nama_resep,status,peringkat,match_persen
OVERNIGHT SOFT BUN ROTI ISI BAKSO SAPI sistem biang,Berhasil,1,100
Rendang Daging Sapi Kentang,Berhasil,2,100
"Sayur Nangka Kelapa Sengara, iga sapi...enakkk",Berhasil,1,100
Sop daging sapi rempah,Berhasil,1,100
Cah kangkung sapi,Berhasil,1,100
Tongseng daging sapi by adilly_kitchen,Berhasil,1,100
Rendang daging sapi istimewa,Berhasil,3,100
👉 Sambal Goreng Hati sapi dan tempe 👈 #Ketopad,Berhasil,1,100
Beef steak with bbq sauce,Berhasil,1,100
Japanese Beef Curry with Instant Roux,Berhasil,1,100
Rendang daging sapi,Berhasil,2,100
Sapi tumis wortel saus tiram pedas nikmat,Berhasil,1,100
Rendang daging sapi,Berhasil,1,100
Bakso sapi home made,Berhasil,1,100
Brokoli tumis daging sapi,Berhasil,1,100
Sambel goreng kentang santan+ ati sapi 👍,Berhasil,4,100
Sambal Kentang + Bakso Sapi,Berhasil,1,100
Beef mashroom,Berhasil,1,100
Hati sapi + kentang puedes,Berhasil,1,100
Dendeng sapi bumbu kecap,Berhasil,1,100
Beef stew dan mashed potatoes,Berhasil,1,100
Tongseng Sapi,Berhasil,1,100
Sop Iga Sapi,Berhasil,2,100
"Tumis Beby buncis, daging sapi",Berhasil,1,100
Kalio Daging Sapi,Berhasil,1,100
Bekal sehat dengan beef BBQ,Berhasil,1,100
Pare ayam daging sapi,Berhasil,1,100
Rawon Sapi,Berhasil,1,100
Tongseng daging sapi,Berhasil,1,100
Tongseng sapi simple,Berhasil,2,100
Sop bening daging sapi,Berhasil,2,100
Sop iga sapi sayuran,Berhasil,3,100
Oseng2 Kulit Sapi & Tahu,Berhasil,1,100
Rolade kornet sapi,Berhasil,2,100
Lodeh kikil sapi,Berhasil,1,100
Beef crispy steak sauce mushroom,Berhasil,2,100
Semur daging sapi,Berhasil,1,100
Sambel Goreng Hati Sapi Endesss,Berhasil,1,100
Rendang Sapi Simple,Berhasil,3,100
Tumis Sawi sendok pete daging sapi,Berhasil,1,100
Tongseng Iga dan Kikil Sapi,Berhasil,2,100
Brokoli siram sapi lada hitam,Berhasil,1,100
Sop iga sapi segar,Berhasil,1,100
Gulai Padang Ati Sapi,Berhasil,1,100
Kwetiau Sapi Goreng,Berhasil,1,100
Kulit sapi Bumbu santan kering,Berhasil,1,100
Tongseng daging sapi,Berhasil,1,100
Empleng daging sapi kentang,Berhasil,1,100
Hati💓 Sapi Masak Kecap,Berhasil,2,100
Sop iga sapi kekinian,Berhasil,1,100
Sambel Ati Sapi,Berhasil,1,100
Gulai tahu + kikil sapi,Berhasil,1,100
Tumis Sardine Kacang Panjang,Berhasil,71,100
Sayur tahu jengkol,Berhasil,1,80
"Tumis sawi, tahu cambah,",Berhasil,71,100
Tumis sawi + tahu simple,Berhasil,71,100
Bihun tahu kuah,Berhasil,1,80
Sayur Oseng Buncis Tahu,Berhasil,1,80
Tumis tahu kacang panjang,Berhasil,71,100
Oseng tahu goreng(coklat)with kol/Kol,Berhasil,1,100
Tumis Buncis Tahu Pedas,Berhasil,1,100
Sayur tahu kacang panjang labusiam,Berhasil,71,100
Tumis Kacang Panjang Tahu Tauco,Berhasil,71,100
Sambal goreng kentang cornet tahu😊,Berhasil,140,100
Sayur Tauge Tahu,Berhasil,71,100
Mie jagung tahu orek,Berhasil,112,100
Tumis tahu tauge,Berhasil,71,100
Tumis kangkung dan tempe,Berhasil,71,100
Tumis Kangkung Terasi,Berhasil,1,100
Sayur Asem Sederhana,Berhasil,1,100
Tumis Brokoli Wortel,Berhasil,1,100
Sayur Bening Bayam,Berhasil,1,100
Tumis Tauge Tahu Putih,Berhasil,71,100
Tumis Buncis Ebi,Berhasil,71,100
Tumis Sawi Putih Bakso,Berhasil,1,100
Sayur Bening Jagung Manis,Berhasil,2,100
Tumis Pare Teri Pedas,Berhasil,1,100
Sayur Lodeh Labu Siam,Berhasil,1,100
Tumis Tahu Kacang Panjang,Berhasil,72,100
Tumis Kangkung Terong,Berhasil,1,100
Sayur Bayam Oyong,Berhasil,1,100
Tumis Genjer Tauco,Berhasil,71,100
Tumis Jamur Tiram,Berhasil,1,100
Capcay Sayur Kuah,Berhasil,1,100
Tumis Kangkung Belacan,Berhasil,2,100
Sayur Bening Wortel,Berhasil,1,100
Tumis Buncis Tahu Orek,Berhasil,72,100
Sayur Sop Makaroni,Berhasil,1,100
Tumis Sawi Hijau Bawang Putih,Berhasil,1,100
Tumis Kembang Kol Wortel,Berhasil,1,100
Sayur Lodeh Terong,Berhasil,1,100
Tumis Pare Jengkol,Berhasil,1,100
Tumis Labu Siam Tempe,Berhasil,71,100
Sayur Bobor Bayam,Berhasil,1,100
Tumis Tauge Ikan Asin,Berhasil,71,100
Tumis Kangkung Oncom,Berhasil,1,100
Oseng Genjer Tauco,Berhasil,1,100
Tumis Jamur Kuping,Berhasil,1,100
Sayur Lodeh Nangka Muda,Berhasil,1,100
Tumis Labu Kuning Santan,Berhasil,1,100
Tumis Tahu Brokoli,Berhasil,71,100
Sayur Bayam Jagung,Berhasil,3,100
Tumis Kacang Panjang Tempe,Berhasil,21,60
Tumis Buncis Jagung Manis,Berhasil,1,100
Sayur Lodeh Kembang Tahu,Berhasil,1,100
Tumis Kangkung Ebi,Berhasil,71,100
Tumis Oyong Telur,Berhasil,71,100
Sayur Sop Ayam,Berhasil,1,100
Tumis Kol Wortel,Berhasil,1,100
Tumis Buncis Tahu Gembos,Berhasil,73,100
Sayur Asem Kangkung,Berhasil,1,100
Tumis Buncis Terong,Berhasil,1,100
Tumis Tauge Jamur,Berhasil,1,100
Sayur Lodeh Kacang Panjang,Berhasil,1,100
Tumis Sawi Putih Udang,Berhasil,71,100
Sayur Bayam Labu Kuning,Berhasil,1,100
Tumis Kacang Panjang Wortel,Berhasil,1,100
Tumis Buncis Terong Kacang,Berhasil,1,100
Sayur Asem Jagung,Berhasil,1,100
Tumis Kangkung Tempe,Berhasil,71,100
Sayur Bayam Jagung Pipil,Berhasil,4,100
Tumis Buncis Tahu Kacang,Berhasil,71,100
Bebek Goreng Madura,Berhasil,1,100
Bebek Betutu,Berhasil,1,100
Bebek Rica Kemangi,Berhasil,1,100
Gulai Bebek Aceh,Berhasil,1,100
Bebek Cabe Ijo,Berhasil,1,100
Bebek Sinjay ala Madura,Berhasil,1,100
Opor Bebek Kuning,Berhasil,1,100
Bebek Bakar Pedas Manis,Berhasil,1,100
Tongseng Bebek,Berhasil,1,100
Bebek Suwir Sambal Matah,Berhasil,1,100
Bebek Masak Kicap,Berhasil,1,100
Bebek Palekko (Bugis),Berhasil,1,100
Semur Bebek Kentang,Berhasil,1,100
Sop Bebek Sayuran,Berhasil,1,100
Bebek Saus Padang,Berhasil,1,100
Bebek Goreng Kremes,Berhasil,71,100
Bebek Garang Asem,Berhasil,1,100
Rendang Bebek,Berhasil,1,100
Bebek Goreng Lengkuas,Berhasil,1,100
Bebek Lada Hitam,Berhasil,1,100
Bebek Asam Manis Nanas,Berhasil,1,100
Bebek Sambal Embe,Berhasil,1,100
Bebek Goreng Tepung,Berhasil,71,100
Bebek Masak Kuning,Berhasil,1,100
Bebek Saus Mentega,Berhasil,1,100
Bebek Kecap Pedas,Berhasil,1,100
Bebek Goreng Kalasan,Berhasil,1,100
Bebek Cabe Garam,Berhasil,1,100
Bebek Bakar Taliwang,Berhasil,1,100
Bebek Masak Jahe,Berhasil,1,100
Bebek Goreng Ketumbar,Berhasil,2,100
Bebek Goreng Serundeng,Berhasil,1,100
Bebek Krispi Mayo,Berhasil,1,100
Bebek Sambal Dabu-Dabu,Berhasil,1,100
Bebek Tumis Buncis,Berhasil,1,100
Bebek Masak Tomat,Berhasil,2,100
Bebek Rica Wortel,Berhasil,1,100
Bebek Goreng Kemiri,Berhasil,3,100
Bebek Masak Kunyit Santan,Berhasil,1,100
Bebek Goreng Terasi,Berhasil,1,100
Bebek Tumis Jamur,Berhasil,1,100
Bebek Masak Lada Putih,Berhasil,1,100
Bebek Rica Kentang,Berhasil,1,100
Bebek Goreng Madu ,Berhasil,2,100
Bebek Rica Daun Jeruk,Berhasil,1,100
Bebek Tumis Wortel Kol,Berhasil,1,100
Bebek Goreng Sambal Bawang,Berhasil,1,100
Bebek Masak Kecap Cabai Ijo,Berhasil,2,100
Bebek Goreng Kuning Kemangi,Berhasil,1,100
Bebek Bakar Madu Pedas,Berhasil,3,100
Bebek Suwir Sambal Ijo,Berhasil,2,100
Bebek Masak Merah (Aceh),Berhasil,3,100
Bebek Goreng Gurih Ketumbar,Berhasil,4,100
Bebek Rica Kemiri Pedas,Berhasil,1,100
Bebek Goreng Santan Kental,Berhasil,1,100
Bebek Rica Pete,Berhasil,1,100
Bebek Goreng Balado Tomat,Berhasil,4,100
Bebek Masak Jahe Bawang,Berhasil,2,100
Bebek Goreng Bumbu Bali (Base Gede),Berhasil,2,100
Bebek Bakar Kecap Jahe,Berhasil,3,100
Bebek Goreng Tepung Sasa,Berhasil,72,100
Bebek Rica Daun Pandan,Berhasil,2,100
Bebek Goreng Lengkuas Spesial,Berhasil,1,100
Bebek Masak Cabai Rawit Utuh,Berhasil,2,100
Bebek Bakar Rica-Rica,Berhasil,1,100
Bebek Goreng Mentega Pedas,Berhasil,1,100
Bebek Tumis Sawi Putih,Berhasil,1,100
Bebek Rica Jamur Tiram,Berhasil,1,100
Bebek Goreng Bumbu Rujak,Berhasil,3,100
Bebek Rica Kemangi (2),Berhasil,1,100
"Mercon APA (Asin Cumi, Pete, Ayam)",Berhasil,1,100
Bawal goreng cumi saus asam manis,Berhasil,1,100
Cumi Asin Tahu Balado,Berhasil,1,100
Tumis Cumi asin pedas campur tahu..,Berhasil,2,100
Tahu cumi,Berhasil,1,100
Orak arik tahu + cumi + jamur enoki,Berhasil,1,100
Cumi tahu bumbu pedas,Berhasil,1,100
Sapo Tahu Cumi dan Jamur,Berhasil,1,100
Cumi isi Tahu Kecap,Berhasil,1,100
Sapo Tahu Seafood,Berhasil,1,100
Tumis cumi pedas tahu putih,Berhasil,1,100
Gulai Cumi Isi Tahu,Berhasil,1,100
Tumis tahu cumi dan lencak,Berhasil,1,100
Cumi isi tahu montok,Berhasil,1,100
Cumi Tahu Saus Asam Manis,Berhasil,1,100
Cumi Tahu nyemek😋,Berhasil,1,100
Cumi asem manis orak arik telor,Berhasil,1,100
Gulai cumi gendut isi telur(kental kuahnya😍😋),Berhasil,1,100
Cumi Saos Padang+Telur 🦑🥚🥘😋,Berhasil,1,100
Cumi Kuah Telur,Berhasil,1,100
Cumi isi tahu telur asam manis,Berhasil,1,100
Tumis tempe dan kepala cumi,Berhasil,1,100
Botok tempe cumi,Berhasil,1,100
Tumis cumis tempe cabai hijau,Berhasil,1,100
Oseng tempe dan cumi asin,Berhasil,1,100
Tumis kangkung cumi asin plus tempe,Berhasil,1,100
Cumi dan tempe asam manis pedas,Berhasil,1,100
Cumi Asin & Tempe Saus Tiram #bandung_recookochirosi,Berhasil,2,100
Orek Tempe dan Cumi Asin,Berhasil,1,100
Oseng cumi kering + tempe no salt,Berhasil,1,100
Oseng oseng cumi tempe pedas,Berhasil,1,100
Cumi asin tempe cabe ijo,Berhasil,1,100
Tumis Kacang Panjang Tempe Cumi,Berhasil,1,100
Cumi Tempe orek,Berhasil,2,100
Cah buncis udang cumi _ menudiet DEBM,Berhasil,1,100
Cah udang cumi,Berhasil,1,100
Tumis Cumi Udang Pedas,Berhasil,1,100
Siomay cumi dan udang,Berhasil,1,100
Oseng Cumi Cumi & Udang,Berhasil,1,100
Cumi asin udang cabe ijo simple,Berhasil,1,100
Tauco cumi-udang petai,Berhasil,1,100
Oseng cumi udang pete cabe,Berhasil,1,100
Sate Udang+cumi bakar bumbu kecap bawang,Berhasil,1,100
Udang Cumi Lada Hitam,Berhasil,1,100
Udang cumi pedes,Berhasil,1,100
Gulai cumi bunting,Berhasil,1,100
Resep Cumi Bakar BBQ Pedas,Berhasil,1,100
Balado cumi,Berhasil,1,100
Cumi Goreng Tepung Crispy,Berhasil,1,100
Tumis Cumi Jagung Manis,Berhasil,1,100
Cumi Asin Tumis Tomat Hijau,Berhasil,1,100
Oseng Cumi Pete Cabai Hijau,Berhasil,2,100
Cumi Bumbu Kuning Sederhana,Berhasil,1,100
Cumi Kuah Asam Pedas,Berhasil,1,100
Cumi Saus Tiram Bawang Bombay,Berhasil,1,100
Cumi Cabe Garam,Berhasil,1,100
Tumis Cumi Pakcoy,Berhasil,1,100
Cumi Masak Kemangi,Berhasil,1,100
Cumi Asin Balado Terong,Berhasil,1,100
Cumi Kuah Santan Cabai Rawit,Berhasil,1,100
Cumi Lada Hitam Pedas Manis,Berhasil,1,100
Pepes Cumi Sederhana,Berhasil,2,100
Cumi Saus Mentega Bawang Putih,Berhasil,1,100
Cumi Goreng Tepung dengan Saus Mayo,Berhasil,1,100
Tumis Cumi Baby Putren,Berhasil,1,100
Oseng Cumi Buncis,Berhasil,1,100
Cumi Bumbu Bali,Berhasil,2,100
Gulai Cumi Padang,Berhasil,1,100
Cumi Goreng Bumbu Merah,Berhasil,1,100
Cumi Sambal Ijo Cincang,Berhasil,2,100
Mie Goreng Sederhana,Berhasil,1,100
Bihun Goreng Sayuran,Berhasil,1,100
Mie Kuah Pedas,Berhasil,1,100
Mie Goreng Jawa,Berhasil,1,100
Mie Goreng Sosis,Berhasil,1,100
Mie Tek-Tek Kuah,Berhasil,1,100
Bihun Kuah Bakso,Berhasil,1,100
Mie Ayam Jamur,Berhasil,1,100
Kwetiau Goreng,Berhasil,1,100
Mie Goreng Seafood,Berhasil,1,100
Mie Rebus Medan,Berhasil,1,100
Bihun Kuah Kari,Berhasil,1,100
Mie Carbonara,Berhasil,1,100
Bihun Goreng Pedas Manis,Berhasil,1,100
Mie Goreng Udang,Berhasil,1,100
Mie Kocok Bandung,Berhasil,1,100
Bihun Jamur,Berhasil,1,100
Kwetiau Kuah Seafood,Berhasil,1,100
Mie Goreng Bakso,Berhasil,1,100
Bihun Goreng Ayam,Berhasil,1,100
Mie Celor,Berhasil,1,100
Kwetiau Siram,Berhasil,1,100
Mie Goreng Pete,Berhasil,1,100
Bihun Lada Hitam,Berhasil,1,100
Mie Goreng Cabe Ijo,Berhasil,1,100
Bihun Rebus Sederhana,Berhasil,1,100
Mie Tom Yam,Berhasil,1,100
Kwetiau Goreng Seafood Pedas,Berhasil,1,100
Mie Goreng Ayam Suwir,Berhasil,1,100
Bihun Goreng Pedas,Berhasil,2,100
Mie Kuah Udang,Berhasil,2,100
Kwetiau Kuah Sapi,Berhasil,1,100
Mie Goreng Terasi,Berhasil,2,100
Bihun Goreng Jamur,Berhasil,2,100
Mie Siram Telur,Berhasil,2,100
Mie Goreng Kampung,Berhasil,1,100
Bihun Goreng Jawa,Berhasil,1,100
Mie Kuah Sayur,Berhasil,1,100
Kwetiau Goreng Jawa,Berhasil,1,100
Mie Kangkung Medan,Berhasil,1,100
Bihun Goreng Ayam Pedas,Berhasil,1,100
Mie Goreng Kerupuk,Berhasil,1,100
Mie Kuah Bakso Sederhana,Berhasil,1,100
Kwetiau Goreng Bakso,Berhasil,1,100
Mie Goreng Telur Kornet,Berhasil,1,100
Bihun Kuah Sawi,Berhasil,1,100
Mie Goreng Cabe Rawit,Berhasil,3,100
Mie Kuah Telur Dadar,Berhasil,1,100
Bihun Goreng Teri Medan,Berhasil,1,100
Kwetiau Goreng Ayam,Berhasil,1,100
Mie Goreng Kornet Pedas,Berhasil,1,100
Bihun Kuah Telur Puyuh,Berhasil,1,100
Mie Goreng Tahu,Berhasil,1,100
Mie Kuah Bayam,Berhasil,1,100
Kwetiau Goreng Telur,Berhasil,1,100
Mie Goreng Teri,Berhasil,1,100
Bihun Goreng Sawi,Berhasil,2,100
Mie Kuah Bakso Ayam,Berhasil,1,100
Kwetiau Kuah Ayam,Berhasil,2,100
Mie Goreng Pete Pedas,Berhasil,2,100
Mie Goreng Kornet Sawi,Berhasil,1,100
Bihun Goreng Bakso,Berhasil,1,100
Mie Kuah Sayur Tahu,Berhasil,1,100
Kwetiau Goreng Sawi,Berhasil,1,100
Mie Goreng Pedas Manis,Berhasil,1,100
Bihun Kuah Jagung,Berhasil,1,100
Mie Goreng Kol Telur,Berhasil,2,100
Mie Kuah Tahu Bakso,Berhasil,1,100
Bihun Goreng Cabe Hijau,Berhasil,19,100
Mie Goreng Ikan Asin,Berhasil,2,100
Nasi Goreng Kampung,Berhasil,1,100
Nasi Kuning Sederhana,Berhasil,1,100
Nasi Goreng Sosis,Berhasil,1,100
Nasi Uduk Rice Cooker,Berhasil,1,100
Nasi Goreng Ayam Suwir,Berhasil,1,100
Nasi Goreng Seafood,Berhasil,1,100
Nasi Goreng Hijau,Berhasil,1,100
Nasi Goreng Pete,Berhasil,1,100
Nasi Bakar Ayam Suwir,Berhasil,1,100
Nasi Goreng Merah,Berhasil,1,100
Nasi Liwet Rice Cooker,Berhasil,1,100
Nasi Goreng Ikan Asin,Berhasil,1,100
Nasi Goreng Spesial,Berhasil,1,100
Nasi Goreng Teri,Berhasil,2,100
Nasi Goreng Udang,Berhasil,1,100
Nasi Goreng Sapi Lada Hitam,Berhasil,1,100
Nasi Goreng Bumbu Bali,Berhasil,1,100
Nasi Goreng Mentega,Berhasil,1,100
Nasi Goreng Keju,Berhasil,2,100
Nasi Goreng Cabai Rawit,Berhasil,1,100
Nasi Goreng Telur Ceplok,Berhasil,2,100
Nasi Goreng Teriyaki,Berhasil,1,100
Nasi Goreng Udang Pete,Berhasil,1,100
Nasi Goreng Nanas,Berhasil,1,100
Nasi Goreng Jamur,Berhasil,1,100
Nasi Tim Ayam,Berhasil,1,100
Nasi Goreng Sapi Cincang,Berhasil,1,100
Nasi Goreng Jengkol,Berhasil,1,100
Nasi Goreng Balado,Berhasil,1,100
Nasi Goreng Kencur,Berhasil,1,100
Nasi Goreng Teri Jengkol,Berhasil,1,100
Nasi Goreng Hongkong,Berhasil,1,100
Nasi Goreng Kornet,Berhasil,1,100
Nasi Goreng Kari,Berhasil,1,100
Nasi Goreng Ikan Tongkol,Berhasil,3,100
Nasi Goreng Tahu,Berhasil,1,100
Nasi Goreng Kangkung,Berhasil,1,100
Nasi Goreng Tahu Tempe,Berhasil,1,100
Nasi Goreng Sayur,Berhasil,1,100
Nasi Goreng Bayam,Berhasil,1,100
Nasi Goreng Telur Asin,Berhasil,3,100
Nasi Goreng Bawang,Berhasil,1,100
Nasi Goreng Kambing,Berhasil,1,100
Nasi Goreng Padang,Berhasil,1,100
Nasi Goreng Bebek,Berhasil,1,100
Nasi Goreng Cumi Hitam,Berhasil,1,100
Nasi Goreng Tauge,Berhasil,1,100
Nasi Goreng Ati Ampela,Berhasil,1,100
Nasi Goreng Sambal Ijo,Berhasil,1,100
Nasi Goreng Soto,Berhasil,1,100
Nasi Goreng Gulai,Berhasil,2,100
Nasi Goreng Rica-Rica,Berhasil,1,100
Nasi Goreng Rawon,Berhasil,3,100
Nasi Goreng Pecel,Berhasil,1,100
Nasi Goreng Sayur Lodeh,Berhasil,1,100
Nasi Goreng Sayur Asem,Berhasil,1,100
Nasi Goreng Kikil,Berhasil,1,100
Nasi Goreng Ceker,Berhasil,2,100
Nasi Goreng Teri Pete,Berhasil,1,100
Nasi Goreng Oncom,Berhasil,1,100
Nasi Goreng Tempe Orek,Berhasil,1,100
Nasi Goreng Sambal Matah,Berhasil,1,100
Nasi Goreng Sambal Terasi,Berhasil,1,100
Nasi Goreng Jagung,Berhasil,1,100
Nasi Goreng Daun Singkong,Berhasil,1,100
Nasi Goreng Labu Siam,Berhasil,1,100
Nasi Goreng Sayur Bayam Jagung,Berhasil,1,100
Nasi Goreng Pepaya Muda,Berhasil,1,100
Nasi Goreng Ikan Lele,Berhasil,1,100
Nasi Goreng Belacan,Berhasil,2,100
Sambal Terasi,Berhasil,1,100
Sambal Bawang,Berhasil,1,100
Sambal Matah,Berhasil,1,100
Sambal Ijo,Berhasil,2,100
Sambal Kemiri,Berhasil,1,100
Sambal Bajak,Berhasil,2,100
Sambal Tomat,Berhasil,3,100
Sambal Goreng Kentang,Berhasil,1,100
Sambal Dabu-dabu,Berhasil,1,100
Sambal Pencit (Mangga Muda),Berhasil,1,100
Sambal Nanas,Berhasil,1,100
Sambal Embe,Berhasil,3,100
Sambal Pecel Lele,Berhasil,71,100
Sambal Korek,Berhasil,1,100
Sambal Terong Balado,Berhasil,1,100
Sambal Cumi Asin,Berhasil,71,100
Sambal Teri Kacang,Berhasil,1,100
Sambal Udang Balado,Berhasil,71,100
Sambal Petai,Berhasil,1,100
Sambal Tempe Penyet,Berhasil,71,100
Sambal Jeruk Limau,Berhasil,1,100
Sambal Kecap,Berhasil,1,100
Sambal Goang,Berhasil,1,100
Sambal Oncom,Berhasil,1,100
Sambal Terong Bakar,Berhasil,2,100
Sambal Jengkol,Berhasil,1,100
Sambal Kacang,Berhasil,1,100
Sambal Taliwang,Berhasil,4,100
Sambal Goreng Ati Ampela,Berhasil,2,100
Sambal Goreng Tempe,Berhasil,71,100
Sambal Dabu-dabu Mentah,Berhasil,2,100
Sambal Goreng Ikan Asin,Berhasil,71,100
Sambal Terasi Bakar,Berhasil,2,100
Sambal Cakalang,Berhasil,71,100
Sambal Korek Bawang,Berhasil,5,100
Sambal Goreng Tahu,Berhasil,71,100
Sambal Goreng Sosis,Berhasil,1,100
Sambal Goreng Udang Pete,Berhasil,71,100
Sambal Goreng Telur Puyuh,Berhasil,71,100
Sambal Goreng Tahu Tempe,Berhasil,141,100
Sambal Tahu,Berhasil,71,100
Sambal Kemangi,Berhasil,1,100
Sambal Bawang Pedas,Berhasil,2,100
Sambal Teri Nasi,Berhasil,2,100
Sambal Leunca,Berhasil,1,100
Sambal Goreng Jipang (Labu Siam),Berhasil,71,100
Sambal Cincang Khas Padang,Berhasil,70,100
Sambal Gami,Berhasil,3,100
Sambal Kecap Bawang,Berhasil,1,100
Sambal Goreng Ebi,Berhasil,71,100
Sambal Pete Ijo,Berhasil,1,100
Sambal Kacang Goreng,Berhasil,2,100
Sambal Tempe Goreng,Berhasil,72,100
Sambal Tumis Jengkol,Berhasil,2,100
Sambal Tahu Kuah,Berhasil,71,100
Sambal Ikan Asin Jambal,Berhasil,73,100
Sambal Bawang Teri,Berhasil,1,100
Sambal Goreng Puyuh,Berhasil,71,100
Sambal Buncis,Berhasil,71,100
Sambal Goreng Wortel,Berhasil,71,100
Sambal Pete Udang,Berhasil,71,100
Sambal Leunca Tempe,Berhasil,71,100
Sambal Goreng Telur Ceplok,Berhasil,71,100
Sambal Cumi Asin Pete,Berhasil,71,100
Sambal Tahu Telur,Berhasil,141,100
Sambal Goreng Labu Siam,Berhasil,72,100
Sambal Goreng Bakso,Berhasil,1,100
Sambal Goreng Krecek,Berhasil,1,100
Sambal Goreng Telur Puyuh Tahu,Berhasil,141,100
Sambal Kacang Mete,Berhasil,3,100
Bubur Ayam Jakarta,Berhasil,1,100
Bubur Ayam Bandung,Berhasil,1,100
Bubur Ayam Kampung,Berhasil,1,100
Bubur Manado (Tinutuan),Berhasil,1,100
Bubur Kacang Hijau,Berhasil,1,100
Bubur Ketan Hitam,Berhasil,1,100
Bubur Candil,Berhasil,1,100
Bubur Sumsum,Berhasil,2,100
Bubur Jagung Manis,Berhasil,1,100
Bubur Mutiara,Berhasil,1,100
Bubur Kacang Merah,Berhasil,1,100
Bubur Kacang Tolo,Berhasil,1,100
Bubur Labu Kuning,Berhasil,1,100
Bubur Singkong,Berhasil,1,100
Bubur Kentang,Berhasil,1,100
Bubur Sagu Ambon,Berhasil,1,100
Bubur Candil Ubi,Berhasil,1,100
Bubur Delima,Berhasil,1,100
Bubur Kacang Mede,Berhasil,1,100
Bubur Kacang Tanah,Berhasil,1,100
Bubur Kacang Arab,Berhasil,1,100
Bubur Kacang Kedelai,Berhasil,1,100
Bubur Talas,Berhasil,1,100
Bubur Kolak Pisang,Berhasil,1,100
Bubur Pisang Hijau,Berhasil,1,100
Bubur Pisang Uli,Berhasil,2,100
Bubur Pisang Raja,Berhasil,1,100
Bubur Pisang Kepok,Berhasil,3,100
Bubur Pisang Ambon,Berhasil,2,100
Bubur Pisang Cokelat,Berhasil,1,100
Bubur Singkong Gula Merah,Berhasil,2,100
Bubur Singkong Santan,Berhasil,1,100
Bubur Singkong Kacang Hijau,Berhasil,1,100
Bubur Singkong Pisang,Berhasil,1,100
Bubur Ubi Ungu,Berhasil,1,100
Bubur Ubi Kuning,Berhasil,1,100
Bubur Ubi Putih,Berhasil,1,100
Bubur Ubi Cokelat,Berhasil,1,100
Bubur Ubi Pandan,Berhasil,2,100
Bubur Ubi Ketan,Berhasil,1,100
Bubur Jagung Ubi,Berhasil,1,100
Bubur Jagung Kacang Hijau,Berhasil,1,100
Bubur Jagung Pisang,Berhasil,1,100
Bubur Jagung Singkong,Berhasil,1,100
Bubur Jagung Nangka,Berhasil,1,100
Bubur Jagung Tape,Berhasil,1,100
Bubur Jagung Sagu,Berhasil,1,100
Bubur Jagung Mutiara,Berhasil,2,100
Bubur Jagung Kelapa Muda,Berhasil,1,100
Bubur Jagung Durian,Berhasil,1,100
Bubur Mutiara Pisang,Berhasil,1,100
Bubur Mutiara Singkong,Berhasil,1,100
Bubur Mutiara Jagung,Berhasil,3,100
Bubur Mutiara Tape,Berhasil,1,100
Bubur Mutiara Ubi,Berhasil,1,100
Bubur Mutiara Nangka,Berhasil,1,100
Bubur Mutiara Durian,Berhasil,1,100
Bubur Mutiara Kelapa,Berhasil,1,100
Bubur Mutiara Cokelat,Berhasil,1,100
Bubur Sumsum Ubi,Berhasil,2,100
Bubur Sumsum Pandan,Berhasil,3,100
Bubur Sumsum Cokelat,Berhasil,1,100
Bubur Sumsum Durian,Berhasil,1,100
Bubur Sumsum Jagung,Berhasil,1,100
Bubur Sumsum Nangka,Berhasil,1,100
Bubur Sumsum Tape,Berhasil,1,100
Bubur Sumsum Kelapa Muda,Berhasil,1,100
Bubur Sumsum Ketan Hitam,Berhasil,1,100
Bubur Sumsum Kacang Hijau,Berhasil,1,100
Bubur Sumsum Mutiara,Berhasil,1,100
